cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
3526015186182660,Carl,Gomez,M,204 Cohen Meadow Suite 976,Hathaway Pines,CA,95233,38.1919,-120.3644,Data processing manager,1958-10-12T00:00:00.000+05:30
4170242670039985,Rebecca,Trujillo,F,242 Cody Pass,Colstrip,MT,59323,45.9344,-106.6368,Air broker,1983-08-09T00:00:00.000+05:30
4006862159277,Cheryl,Rice,F,0771 Solis Road Apt. 469,Brooklyn,NY,11228,40.6174,-74.0121,Tourism officer,1957-07-24T00:00:00.000+05:30
3593533875650654,Cindy,Ray,F,09110 Marie Run,Oswego,IL,60543,41.6849,-88.3453,Magazine features editor,1994-12-24T00:00:00.000+05:30
5421885738881170,Jeremy,Torres,M,81823 Karen Haven,Lewis Center,OH,43035,40.1879,-82.9878,"Designer, industrial/product",1995-11-06T00:00:00.000+05:30
4048725581466255,Theresa,Cole,F,431 Walker Via,Chicago,IL,60601,41.8858,-87.6181,Retail banker,1950-12-28T00:00:00.000+05:30
4092259246729,Krystal,Harper,F,8905 Jones Road Apt. 997,Sperry,IA,52650,40.9419,-91.185,"Conservation officer, nature",1960-11-02T00:00:00.000+05:30
5417459284978545,Angel,Smith,M,3472 Knight Loop,Livonia,NY,14487,42.8135,-77.6635,Landscape architect,1955-04-29T00:00:00.000+05:30
6011779269963768,Jennifer,Harvey,F,85395 Elizabeth Spurs,Catron,MO,63833,36.6876,-89.7706,Personnel officer,1980-09-18T00:00:00.000+05:30
30405027360515,Monica,Brown,F,39422 Chloe Court,Myers Flat,CA,95554,40.2841,-123.7945,"Designer, fashion/clothing",1948-01-14T00:00:00.000+05:30
6546851067101927,Brianna,Mercer,F,889 Gonzales Locks Suite 512,Peoria,IL,61607,40.6321,-89.6903,Event organiser,1929-05-23T00:00:00.000+05:53
4483018920250,Helen,Strong,F,38381 Lindsay Lights,La Plata,NM,87418,36.9576,-108.1792,"Engineer, electronics",1989-08-09T00:00:00.000+05:30
379684560931689,Cindy,Martin,F,18202 Sandra Bridge Suite 869,Ashland,NE,68003,41.0541,-96.3904,"Editor, film/video",1942-06-18T00:00:00.000+05:30
